date,market_location,category,commodity,min_price,max_price,modal_price,rainfall_mm,year,month,day_of_week,day_of_month,is_weekend,price_lag_1,price_lag_3,price_lag_7,price_lag_14,rolling_mean_7,rolling_std_7,rolling_mean_30,price_spread
2024-01-31,Central Mandi,Fruit,Apple,88.84,108.58,98.71,0.53,2024,1,2,31,0,116.51,101.1,97.18,123.78,122.1557142857143,20.10842514730484,113.90233333333335,19.739999999999995
2024-02-01,Central Mandi,Fruit,Apple,65.89,80.53,73.21,0.34,2024,2,3,1,0,98.71,149.65,115.03,113.46,122.37428571428572,19.797615055979893,114.717,14.64
2024-02-02,Central Mandi,Fruit,Apple,98.03,119.81,108.92,2.05,2024,2,4,2,0,73.21,116.51,133.92,92.37,116.39999999999999,27.279470913735356,113.60699999999999,21.78
2024-02-03,Central Mandi,Fruit,Apple,137.86,168.5,153.18,0.46,2024,2,5,3,1,108.92,98.71,141.7,94.16,112.82857142857142,26.219367795945185,112.44266666666665,30.639999999999986
2024-02-04,Central Mandi,Fruit,Apple,130.39,159.37,144.88,0.14,2024,2,6,4,1,153.18,73.21,101.1,103.96,114.46857142857142,28.57907942800784,113.52533333333334,28.980000000000018
2024-02-05,Central Mandi,Fruit,Apple,115.79,141.52,128.65,0.72,2024,2,0,5,0,144.88,108.92,149.65,101.64,120.72285714285714,29.92464520217726,113.57099999999998,25.730000000000004
2024-02-06,Central Mandi,Fruit,Apple,117.69,143.85,130.77,0.52,2024,2,1,6,0,128.65,153.18,116.51,106.32,117.72285714285714,27.495352161341568,113.58,26.159999999999997
2024-02-07,Central Mandi,Fruit,Apple,119.75,146.37,133.06,1.27,2024,2,2,7,0,130.77,144.88,98.71,97.18,119.76,27.91556793857745,115.19766666666666,26.620000000000005
2024-02-08,Central Mandi,Fruit,Apple,119.46,146.0,132.73,2.16,2024,2,3,8,0,133.06,128.65,73.21,115.03,124.66714285714285,26.58602622574856,117.125,26.540000000000006
2024-02-09,Central Mandi,Fruit,Apple,138.81,169.65,154.23,0.08,2024,2,4,9,0,132.73,130.77,108.92,133.92,133.17000000000002,13.856303018241656,117.10999999999999,30.840000000000003
2024-02-10,Central Mandi,Fruit,Apple,104.02,127.14,115.58,2.62,2024,2,5,10,1,154.23,133.06,153.18,141.7,139.64285714285714,10.909924708395403,118.10099999999998,23.120000000000005
2024-02-11,Central Mandi,Fruit,Apple,95.99,117.32,106.65,1.19,2024,2,6,11,1,115.58,132.73,144.88,101.1,134.27142857142857,12.301489650406038,118.28766666666665,21.33
2024-02-12,Central Mandi,Fruit,Apple,103.45,126.43,114.94,0.27,2024,2,0,12,0,106.65,154.23,128.65,149.65,128.81,14.99761647729396,118.23233333333333,22.980000000000004
2024-02-13,Central Mandi,Fruit,Apple,106.7,130.4,118.55,0.67,2024,2,1,13,0,114.94,115.58,130.77,116.51,126.85142857142856,15.890617177621314,118.664,23.700000000000003
2024-02-14,Central Mandi,Fruit,Apple,92.13,112.61,102.37,1.49,2024,2,2,14,0,118.55,106.65,133.06,98.71,125.10571428571428,16.058726451312836,118.519,20.480000000000004
2024-02-15,Central Mandi,Fruit,Apple,74.18,90.66,82.42,0.95,2024,2,3,15,0,102.37,114.94,132.73,73.21,120.72142857142856,17.637008843689454,118.23966666666666,16.47999999999999
2024-02-16,Central Mandi,Fruit,Apple,116.48,142.36,129.42,1.43,2024,2,4,16,0,82.42,118.55,154.23,108.92,113.53428571428572,21.70865023989502,116.321,25.88000000000001
2024-02-17,Central Mandi,Fruit,Apple,132.22,161.6,146.91,0.1,2024,2,5,17,1,129.42,102.37,115.58,153.18,109.99,14.921315849035082,116.50899999999999,29.379999999999995
2024-02-18,Central Mandi,Fruit,Apple,92.26,112.76,102.51,0.48,2024,2,6,18,1,146.91,82.42,106.65,144.88,114.46571428571428,20.524327725200347,117.62400000000001,20.5
2024-02-19,Central Mandi,Fruit,Apple,116.23,142.05,129.14,1.42,2024,2,0,19,0,102.51,129.42,114.94,128.65,113.8742857142857,20.844237298865785,117.96199999999999,25.820000000000007
2024-02-20,Central Mandi,Fruit,Apple,102.89,125.75,114.32,0.09,2024,2,1,20,0,129.14,146.91,118.55,130.77,115.90285714285713,21.640987126504253,119.128,22.86
2024-02-21,Central Mandi,Fruit,Apple,95.99,117.33,106.66,0.48,2024,2,2,21,0,114.32,102.51,102.37,133.06,115.29857142857144,21.61379145250504,119.47333333333333,21.340000000000003
2024-02-22,Central Mandi,Fruit,Apple,156.29,191.03,173.66,2.21,2024,2,3,22,0,106.66,129.14,82.42,132.73,115.91142857142857,21.243758635241083,119.64066666666668,34.74000000000001
2024-02-23,Central Mandi,Fruit,Apple,130.87,159.95,145.41,0.07,2024,2,4,23,0,173.66,114.32,129.42,154.23,128.94571428571427,24.939116435259464,121.88533333333334,29.079999999999984
2024-02-24,Central Mandi,Fruit,Apple,101.86,124.5,113.18,2.42,2024,2,5,24,1,145.41,106.66,146.91,115.58,131.23,25.710176973331013,123.493,22.64
2024-02-25,Central Mandi,Fruit,Apple,113.99,139.33,126.66,2.4,2024,2,6,25,1,113.18,173.66,102.51,106.65,126.41142857142857,25.441072061118955,123.43133333333334,25.340000000000018
