date,market_location,category,commodity,min_price,max_price,modal_price,rainfall_mm
2024-01-01,Central Mandi,Vegetable,Tomato,35.86,43.82,39.84,1.32
2024-01-01,North Mandi,Vegetable,Tomato,28.96,35.4,32.18,0.91
2024-01-01,South Mandi,Vegetable,Tomato,27.86,34.04,30.95,0.06
2024-01-01,Central Mandi,Vegetable,Potato,19.58,23.94,21.76,2.01
2024-01-01,North Mandi,Vegetable,Potato,25.94,31.7,28.82,0.02
2024-01-01,South Mandi,Vegetable,Potato,23.33,28.51,25.92,3.5
2024-01-01,Central Mandi,Vegetable,Onion,21.95,26.83,24.39,0.2
2024-01-01,North Mandi,Vegetable,Onion,29.24,35.74,32.49,0.2
2024-01-01,South Mandi,Vegetable,Onion,27.11,33.13,30.12,0.57
2024-01-01,Central Mandi,Fruit,Apple,66.84,81.7,74.27,0.34
2024-01-01,North Mandi,Fruit,Apple,83.05,101.51,92.28,0.35
2024-01-01,South Mandi,Fruit,Apple,106.95,130.71,118.83,0.46
2024-01-01,Central Mandi,Grain,Wheat,31.01,37.9,34.45,0.22
2024-01-01,North Mandi,Grain,Wheat,28.01,34.23,31.12,0.72
2024-01-01,South Mandi,Grain,Wheat,27.45,33.55,30.5,0.94
2024-01-01,Central Mandi,Grain,Rice,40.82,49.89,45.35,0.19
2024-01-01,North Mandi,Grain,Rice,38.98,47.64,43.31,1.15
2024-01-01,South Mandi,Grain,Rice,39.76,48.6,44.18,0.58
2024-01-02,Central Mandi,Vegetable,Tomato,30.23,36.95,33.59,0.03
2024-01-02,North Mandi,Vegetable,Tomato,19.17,23.43,21.3,2.4
2024-01-02,South Mandi,Vegetable,Tomato,39.29,48.03,43.66,0.37
2024-01-02,Central Mandi,Vegetable,Potato,15.92,19.46,17.69,0.73
2024-01-02,North Mandi,Vegetable,Potato,15.79,19.29,17.54,3.49
2024-01-02,South Mandi,Vegetable,Potato,21.1,25.78,23.44,1.49
2024-01-02,Central Mandi,Vegetable,Onion,30.64,37.44,34.04,0.09
2024-01-02,North Mandi,Vegetable,Onion,26.57,32.47,29.52,0.22
2024-01-02,South Mandi,Vegetable,Onion,24.52,29.98,27.25,0.49
2024-01-02,Central Mandi,Fruit,Apple,95.86,117.16,106.51,0.32
2024-01-02,North Mandi,Fruit,Apple,92.99,113.65,103.32,0.33
2024-01-02,South Mandi,Fruit,Apple,120.35,147.09,133.72,0.78
2024-01-02,Central Mandi,Grain,Wheat,28.94,35.38,32.16,0.08
2024-01-02,North Mandi,Grain,Wheat,28.04,34.28,31.16,4.33
2024-01-02,South Mandi,Grain,Wheat,27.14,33.16,30.15,0.01
